Galaxy,acm_cpp,mond_cpp,delta_cpp_mond_minus_acm,n_points,n_valid_mond,T,D,e_D,distance_rel_err,distance_rel_err_pct,f_D,Inc,e_Inc,L3.6,e_L3.6,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Qual,Ref,ba_obs,geometry_source,inc_true_deg,k_inc,velocity_shift_pct,correction_source_used,geometry_qc_flag,geometry_qc_reason,geometry_mode,is_proxy_fallback
F583-1,19.73858640940987,2.0761514599618023,-17.662434949448066,25,25,9,35.4,8.85,0.25,25.0,1,63.0,5.0,0.986,0.093,3.74,11.19,2.36,60.93,2.126,15.65,85.8,3.6,1,"KN08,dB96",,hyperleda_not_found,66.95937545747276,0.968245836551854,-3.1754163448145856,catalog_inclination_proxy,missing,missing_ba_obs,proxy_fallback,True
UGC05986,24.633505902344044,7.477970270176922,-17.155535632167123,15,15,9,8.63,2.59,0.3001158748551564,30.01158748551564,1,90.0,3.0,4.695,0.048,3.12,76.71,1.67,1725.16,2.667,16.53,113.0,4.1,2,"Sw09,Sw02",0.239883291901949,hyperleda_vizier,90.0,1.0,0.0,hyperleda_vizier,ok,,real_ba_obs,False
ESO116-G012,27.08718809184441,10.358717630289371,-16.72847046155504,15,15,7,13.0,3.9,0.3,30.0,1,74.0,3.0,4.292,0.071,2.75,90.54,1.51,1320.78,1.083,9.58,109.1,3.1,1,Ge04,0.2344228815319922,hyperleda_vizier,85.93282461908302,0.9636886687915154,-3.631133120848462,hyperleda_vizier,review,large_inclination_delta,real_ba_obs,False
ESO444-G084,34.78495824106678,19.178031997801327,-15.606926243265455,7,7,10,4.83,0.48,0.09937888198757763,9.937888198757763,2,32.0,6.0,0.071,0.003,0.75,19.81,0.46,66.81,0.135,2.95,0.0,0.0,2,Co00,0.7413102413009175,hyperleda_vizier,43.88186026320149,0.7644826807437429,-23.551731925625703,hyperleda_vizier,review,large_velocity_shift;large_inclination_delta;faceon_sensitive,real_ba_obs,False
KK98-251,55.44366365246725,41.07687715844669,-14.366786494020552,15,15,10,6.8,2.04,0.3,30.0,1,59.0,5.0,0.085,0.007,1.28,7.89,1.34,52.1,0.115,2.9,33.7,1.6,2,BC04,,hyperleda_not_found,62.28582314386008,0.9682458365518544,-3.1754163448145745,catalog_inclination_proxy,missing,missing_ba_obs,proxy_fallback,True
F568-V1,17.215876766532954,3.1341201853780296,-14.081756581154924,15,15,7,80.6,8.06,0.10000000000000002,10.000000000000002,1,40.0,10.0,3.825,0.384,4.4,31.39,2.85,90.54,2.491,14.38,112.3,15.8,1,"dB01,dB96",,hyperleda_not_found,41.265354184548464,0.9745891442038536,-2.5410855796146548,catalog_inclination_proxy,missing,missing_ba_obs,proxy_fallback,True
F565-V2,13.427272360497351,0.3553792537263577,-13.071893106770991,7,7,10,51.8,10.4,0.2007722007722008,20.07722007722008,1,60.0,10.0,0.559,0.098,3.57,6.93,2.17,40.26,0.699,7.31,0.0,0.0,2,"dB97,dB96",,hyperleda_not_found,63.43494882292201,0.968245836551854,-3.1754163448145856,catalog_inclination_proxy,missing,missing_ba_obs,proxy_fallback,True
UGC07608,12.856430513325227,0.5724500836710491,-12.28398042965418,8,8,10,8.21,2.46,0.2996345919610231,29.96345919610231,1,25.0,10.0,0.264,0.012,1.6,16.48,1.5,46.65,0.535,6.73,0.0,0.0,1,"Sw09,Sw02",0.8912509381337456,hyperleda_vizier,27.92942492776477,0.9022908635462262,-9.770913645377377,hyperleda_vizier,review,faceon_sensitive,real_ba_obs,False
UGC06983,14.908172889776548,3.1498152424551904,-11.758357647321358,17,17,6,18.0,2.5,0.1388888888888889,13.88888888888889,4,49.0,1.0,5.298,0.102,3.95,53.56,3.21,121.57,2.967,16.07,109.0,5.8,1,"VS01,SV98",0.7762471166286917,hyperleda_vizier,40.0280127852857,1.173436094558706,17.343609455870613,hyperleda_vizier,review,large_velocity_shift,real_ba_obs,False
NGC6674,224.37589450006587,213.43261284592865,-10.943281654137252,15,15,3,51.2,10.2,0.19921874999999997,19.921874999999996,1,54.0,6.0,214.654,1.977,7.75,560.83,6.04,1370.35,32.165,50.02,241.3,4.9,1,"Sa96,Br92",0.5128613839913648,hyperleda_vizier,59.85074748787034,0.9355826173362528,-6.441738266374708,hyperleda_vizier,ok,,real_ba_obs,False
