Galaxy,distance_mode,D_nominal_mpc,e_D_mpc,D_test_mpc,distance_shift_mpc,distance_shift_sigma,acm_cpp,mond_cpp,delta_cpp_mond_minus_acm,n_valid_mond,geometry_qc_flag,geometry_qc_reason,Qual
ESO116-G012,D_plus_eD,13.0,3.9,16.9,3.8999999999999986,0.9999999999999997,5.1028503019919595,58.440219233958025,53.33736893196607,15,review,large_inclination_delta,1
UGC05986,baseline,8.63,2.59,8.63,0.0,0.0,24.633505902344044,7.477970270176922,-17.155535632167123,15,ok,,2
UGC05986,D_minus_eD,8.63,2.59,6.040000000000001,-2.59,-1.0,93.67221328817577,30.196602882092474,-63.47561040608329,15,ok,,2
UGC05986,D_plus_eD,8.63,2.59,11.22,2.59,1.0,7.051401664615353,44.94410955786848,37.892707893253124,15,ok,,2
F583-1,baseline,35.4,8.85,35.4,0.0,0.0,19.73858640940987,2.0761514599618023,-17.662434949448066,25,missing,missing_ba_obs,1
F583-1,D_minus_eD,35.4,8.85,26.549999999999997,-8.850000000000001,-1.0000000000000002,24.631071375629954,2.7224655506864353,-21.908605824943518,25,missing,missing_ba_obs,1
F583-1,D_plus_eD,35.4,8.85,44.25,8.850000000000001,1.0000000000000002,17.45893012373221,5.232698786223631,-12.226231337508578,25,missing,missing_ba_obs,1
NGC2915,baseline,4.06,0.2,4.06,0.0,0.0,22.112837765160563,4.36814551189078,-17.744692253269783,30,ok,,2
NGC2915,D_minus_eD,4.06,0.2,3.8599999999999994,-0.20000000000000018,-1.0000000000000009,23.48145485173182,5.102514132358007,-18.378940719373812,30,ok,,2
NGC2915,D_plus_eD,4.06,0.2,4.26,0.20000000000000018,1.0000000000000009,20.82553798515788,3.7527499353667992,-17.07278804979108,30,ok,,2
UGC01230,baseline,53.7,10.7,53.7,0.0,0.0,22.84478877268595,4.73639337983033,-18.10839539285562,11,review,large_velocity_shift;faceon_sensitive,1
UGC01230,D_minus_eD,53.7,10.7,43.0,-10.700000000000003,-1.0000000000000002,16.78644403507154,2.2877908735444534,-14.498653161527086,11,review,large_velocity_shift;faceon_sensitive,1
UGC01230,D_plus_eD,53.7,10.7,64.4,10.700000000000003,1.0000000000000002,30.624623275496415,8.90631990005847,-21.718303375437944,11,review,large_velocity_shift;faceon_sensitive,1
F568-1,baseline,90.7,9.7,90.7,0.0,0.0,20.96568776658235,2.5605832619094353,-18.405104504672913,12,missing,missing_ba_obs,1
F568-1,D_minus_eD,90.7,9.7,81.0,-9.700000000000003,-1.0000000000000004,23.66649927923723,4.013976232412163,-19.652523046825067,12,missing,missing_ba_obs,1
F568-1,D_plus_eD,90.7,9.7,100.4,9.700000000000003,1.0000000000000004,18.56527640675886,1.5851861670848466,-16.980090239674013,12,missing,missing_ba_obs,1
UGC05721,baseline,6.18,1.85,6.18,0.0,0.0,25.44126944429533,4.486567411392014,-20.954702032903317,23,ok,,1
UGC05721,D_minus_eD,6.18,1.85,4.33,-1.8499999999999996,-0.9999999999999998,44.39992321068458,16.609383765275705,-27.79053944540887,23,ok,,1
UGC05721,D_plus_eD,6.18,1.85,8.03,1.8499999999999996,0.9999999999999998,13.798301909857692,1.895784467615829,-11.902517442241862,23,ok,,1
NGC3109,baseline,1.33,0.07,1.33,0.0,0.0,32.471284508963684,7.968203758293198,-24.503080750670485,25,review,large_inclination_delta,1
NGC3109,D_minus_eD,1.33,0.07,1.26,-0.07000000000000006,-1.0000000000000009,32.6073308542436,7.334441335529737,-25.27288951871386,25,review,large_inclination_delta,1
NGC3109,D_plus_eD,1.33,0.07,1.4000000000000001,0.07000000000000006,1.0000000000000009,32.79253868744457,9.114252789294984,-23.678285898149586,25,review,large_inclination_delta,1
NGC1705,baseline,5.73,0.29,5.73,0.0,0.0,29.043120238380258,3.537813274470795,-25.50530696390946,14,review,large_velocity_shift;large_inclination_delta,3
NGC1705,D_minus_eD,5.73,0.29,5.44,-0.29000000000000004,-1.0000000000000002,31.95807950844526,4.978791881453377,-26.979287626991884,14,review,large_velocity_shift;large_inclination_delta,3
NGC1705,D_plus_eD,5.73,0.29,6.0200000000000005,0.29000000000000004,1.0000000000000002,26.33737643013196,2.3769923132940702,-23.96038411683789,14,review,large_velocity_shift;large_inclination_delta,3
UGC08490,baseline,4.65,0.53,4.65,0.0,0.0,26.346355011632177,0.2390569868905155,-26.107298024741663,30,ok,,1
UGC08490,D_minus_eD,4.65,0.53,4.12,-0.5300000000000002,-1.0000000000000004,36.282696077165305,1.6189174510508417,-34.663778626114464,30,ok,,1
UGC08490,D_plus_eD,4.65,0.53,5.180000000000001,0.5300000000000002,1.0000000000000004,18.47868221162207,1.6083403298512846,-16.870341881770784,30,ok,,1
UGC08550,baseline,6.7,2.0,6.7,0.0,0.0,31.859716477273533,4.818442045242661,-27.04127443203087,11,ok,,1
UGC08550,D_minus_eD,6.7,2.0,4.7,-2.0,-1.0,64.40325881989128,6.155061644347065,-58.24819717554421,11,ok,,1
UGC08550,D_plus_eD,6.7,2.0,8.7,1.9999999999999991,0.9999999999999996,21.667784928189697,32.45246466790024,10.78467973971054,11,ok,,1
UGC00731,baseline,12.5,3.75,12.5,0.0,0.0,40.15725700713109,12.824588757466074,-27.33266824966502,12,review,large_velocity_shift;large_inclination_delta,1
UGC00731,D_minus_eD,12.5,3.75,8.75,-3.75,-1.0,57.99525893605784,17.724960248607225,-40.27029868745061,12,review,large_velocity_shift;large_inclination_delta,1
UGC00731,D_plus_eD,12.5,3.75,16.25,3.75,1.0,43.69139171466128,32.879252670950294,-10.812139043710985,12,review,large_velocity_shift;large_inclination_delta,1
UGC06446,baseline,12.0,3.6,12.0,0.0,0.0,28.513620598606053,0.8821195813849019,-27.63150101722115,17,ok,,1
UGC06446,D_minus_eD,12.0,3.6,8.4,-3.5999999999999996,-0.9999999999999999,50.31322136790374,7.8380995477366415,-42.475121820167104,17,ok,,1
UGC06446,D_plus_eD,12.0,3.6,15.6,3.5999999999999996,0.9999999999999999,15.69208754167295,6.825376949171109,-8.866710592501843,17,ok,,1
NGC5033,baseline,15.7,4.7,15.7,0.0,0.0,169.9185649761923,140.75390073636106,-29.16466423983124,22,ok,,1
NGC5033,D_minus_eD,15.7,4.7,11.0,-4.699999999999999,-0.9999999999999998,485.7295997237524,14.56833502964159,-471.1612646941108,22,ok,,1
NGC5033,D_plus_eD,15.7,4.7,20.4,4.699999999999999,0.9999999999999998,62.47584913793317,551.5174816352051,489.0416324972719,22,ok,,1
DDO170,baseline,15.4,4.62,15.4,0.0,0.0,270.9659244740754,238.33805172486893,-32.62787274920646,8,review,large_inclination_delta,2
DDO170,D_minus_eD,15.4,4.62,10.780000000000001,-4.619999999999999,-0.9999999999999998,132.33856928890305,28.646089179215213,-103.69248010968784,8,review,large_inclination_delta,2
DDO170,D_plus_eD,15.4,4.62,20.02,4.619999999999999,0.9999999999999998,533.6405884109288,585.7822999843352,52.14171157340638,8,review,large_inclination_delta,2
D564-8,baseline,8.79,0.28,8.79,0.0,0.0,69.22278946894369,35.01324775318804,-34.20954171575565,6,missing,missing_ba_obs,2
