Galaxy,D_minus_eD,D_plus_eD,baseline,best_margin_shift,best_distance_mode,flipped_at_edge
D564-8,-32.35662695495747,-36.074715030083716,-34.20954171575565,1.8529147607981784,D_minus_eD,False
UGC05005,-2.6419324161604925,-6.07561226216319,-4.3153219749440375,1.673389558783545,D_minus_eD,False
F579-V1,-6.470844769457059,-3.2546872505353037,-4.915487790832423,1.6608005402971195,D_plus_eD,False
NGC1705,-26.979287626991884,-23.96038411683789,-25.50530696390946,1.5449228470715717,D_plus_eD,False
NGC0300,-2.6921012197076157,0.14165049134131458,-1.2930202934113373,1.4346707847526519,D_plus_eD,True
F568-1,-19.652523046825067,-16.980090239674013,-18.405104504672913,1.4250142649989002,D_plus_eD,False
F571-V1,-1.680346716241992,0.859561116705791,-0.44335173055979915,1.3029128472655902,D_plus_eD,True
NGC4214,-8.344834975474477,-5.855030205654177,-7.119369770171011,1.2643395645168338,D_plus_eD,False
NGC0024,-9.308816757021205,-11.699003083711982,-10.495548224542954,1.1867314675217493,D_minus_eD,False
F563-V2,-8.736607927634733,-6.7493110231671425,-7.872955267379835,1.1236442442126924,D_plus_eD,False
ESO444-G084,-16.471158000695812,-14.619076650595797,-15.606926243265455,0.987849592669658,D_plus_eD,False
UGC01281,-1.5940112379140507,0.33118071851442643,-0.6427181100252284,0.9738988285396548,D_plus_eD,True
F568-V1,-14.890881831998854,-13.15841009454564,-14.081756581154924,0.9233464866092831,D_plus_eD,False
NGC3109,-25.27288951871386,-23.678285898149586,-24.503080750670485,0.824794852520899,D_plus_eD,False
NGC2915,-18.378940719373812,-17.07278804979108,-17.744692253269783,0.6719042034787037,D_plus_eD,False
NGC3741,-8.302101004853675,-7.313742485517584,-7.81996257908631,0.506220093568726,D_plus_eD,False
KK98-251,-14.005450722738972,-14.058798114307734,-14.366786494020552,0.36133577128157945,D_minus_eD,False
UGCA444,-3.127836239779665,-3.465118406012888,-3.2964715285361788,0.1686352887565139,D_minus_eD,False
