Galaxy,n_points,n_valid_mond,acm_cpp,mond_cpp,delta_cpp_mond_minus_acm,T,D,e_D,f_D,Inc,e_Inc,L3.6,e_L3.6,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Qual,Ref,ba_obs,geometry_source,inc_true_deg,k_inc,velocity_shift_pct,correction_source_used,geometry_qc_flag,geometry_qc_reason,distance_edge_best_margin_shift,distance_edge_best_mode,distance_edge_flipped,best_ml_scale,ml_best_margin_shift,ml_flipped,distance_rel_err,distance_rel_err_pct,gas_to_light_proxy,gas_surface_proxy,pathology_group,n_rc_valid,gas_peak_radius_kpc,gas_peak_value,gas_outer_to_inner_ratio,gas_abs_slope_outer_mean,gas_abs_slope_outer_median,gas_abs_curvature_outer_mean,gas_abs_curvature_outer_median,vgas_high_freq_power_frac,vgas_smoothness_score
UGC08286,17,17,62.49824318848097,2.483440461586889,-60.01480272689408,6,6.5,0.21,2,90.0,3.0,1.255,0.018,2.25,39.52,1.05,1488.78,0.642,8.07,82.4,2.3,1,"Sw09,Sw02",0.1288249551693134,hyperleda_vizier,90.0,1.0,0.0,hyperleda_vizier,ok,,5.390952944250195,D_plus_eD,False,1.3,27.08099344753317,False,0.0323076923076923,3.230769230769231,0.5115537848605578,0.582312925170068,gas_flat_hard31,14,8.04,691.69,2.461693571695172,0.8832284882928848,0.6036735987971369,12.121617515854078,12.652233052246558,0.0252655772740881,0.974734422725912
UGC07399,10,10,122.18766446905468,33.40664662913275,-88.78101783992193,8,8.43,2.53,1,55.0,3.0,1.156,0.024,1.27,113.98,1.64,135.78,0.745,7.85,103.0,3.3,1,"Sw09,Sw02",0.72443596007499,hyperleda_vizier,45.39375142343099,1.1505761057440462,15.057610574404624,hyperleda_vizier,review,large_velocity_shift,21.19122502676501,D_plus_eD,False,1.3,40.16974348594183,False,0.3001186239620403,30.01186239620403,0.6444636678200693,0.2769928613920286,gas_flat_hard31,10,6.13,652.8025,2.6798565177705838,0.6265497477682882,0.5688344089275645,3.7945673673736975,4.644484021091639,0.0326778246186972,0.9673221753813028
UGC02259,8,8,99.2552825291094,5.616573582884248,-93.63870894622517,8,10.5,3.1,1,41.0,3.0,1.725,0.038,2.4,47.08,1.62,172.52,0.494,7.28,86.2,2.9,2,"Be91,Ca88",0.6918309709189365,hyperleda_vizier,48.22268456456979,0.8797425029342326,-12.025749706576738,hyperleda_vizier,review,large_velocity_shift,75.03404759056787,D_plus_eD,False,1.0,0.0,False,0.2952380952380952,29.52380952380953,0.2863768115942028,0.1882335009907026,gas_flat_hard31,8,7.13,711.8224,3.763593300983405,0.7877807690598011,0.8531034639510735,4.002057303550709,4.621421993434171,0.022052718055676,0.977947281944324
UGCA442,8,8,213.38202637909995,7.373758880938282,-206.00826749816164,9,4.35,0.22,2,64.0,7.0,0.14,0.005,1.71,7.6,1.18,116.1,0.263,4.37,56.4,2.1,1,Co00,0.1737800828749375,hyperleda_vizier,90.0,0.898794046299167,-10.120595370083295,hyperleda_vizier,review,large_velocity_shift;large_inclination_delta,30.5943470901029,D_minus_eD,False,0.7,116.56903782265138,False,0.0505747126436781,5.057471264367817,1.8785714285714288,0.188882505027291,gas_flat_hard31,8,3.79,520.7524,1.4825569683383597,1.1471607251708391,1.363093012940949,2.042234076223264,2.163498875162228,0.0167327338716473,0.9832672661283526
UGC02487,17,17,513.5913866562636,8.955995343358415,-504.63539131290514,0,69.1,10.4,1,36.0,5.0,489.955,4.061,9.63,818.14,7.89,1150.35,17.963,40.2,332.0,3.5,1,"No07,No05",0.7762471166286917,hyperleda_vizier,39.42127937958152,0.925620617154188,-7.437938284581214,hyperleda_vizier,review,faceon_sensitive,314.4110814877103,D_plus_eD,False,1.3,42.5096430146923,False,0.150506512301013,15.050651230101304,0.0366625506424059,0.2885525146942834,gas_flat_hard31,13,70.33,2160.3904,1.7806627077281296,1.245305925983358,1.429059641192033,8.003330985338469,7.529102692645441,0.0370213460229273,0.9629786539770726
UGC11820,10,10,917.5977467473818,219.8377106854547,-697.7600360619272,9,18.1,5.43,1,45.0,10.0,0.97,0.047,2.74,20.18,2.08,34.11,1.977,12.99,0.0,0.0,1,"KN08,vZ97",0.831763771102671,hyperleda_vizier,34.983151548424075,1.2333210538113182,23.33210538113181,hyperleda_vizier,review,large_velocity_shift;large_inclination_delta,369.6512150330717,D_minus_eD,False,1.0,-1.1368683772161605e-13,False,0.2999999999999999,29.999999999999996,2.0381443298969075,0.4569619082840236,gas_flat_hard31,9,10.52,1274.4900000000002,15.504942126104174,1.01781612038685,0.6578006080798353,1.839404270100839,1.379749759317845,0.0211288483732982,0.9788711516267016
UGC00191,9,9,1187.604441403521,126.38972511505942,-1061.2147162884614,9,17.1,5.1,1,45.0,5.0,2.004,0.063,2.5,50.21,1.58,207.41,1.343,10.03,0.0,0.0,1,"KN08,vZ97",0.7762471166286917,hyperleda_vizier,40.62489186276407,1.0860120076844162,8.601200768441618,hyperleda_vizier,ok,,605.7631075685035,D_minus_eD,False,1.0,0.0,False,0.2982456140350876,29.824561403508763,0.6701596806387226,0.5379746835443037,gas_flat_hard31,9,9.98,1137.0384,29.202973758568543,1.5141740158111066,1.8115356591163303,1.4241451810085486,1.9864032983512925,0.022927550577769,0.9770724494222308
UGC05764,10,10,1250.7678822212708,137.3505917184253,-1113.4172905028456,10,7.47,2.24,1,60.0,10.0,0.085,0.006,1.2,9.31,1.17,33.79,0.163,3.51,0.0,0.0,2,vZ97,0.3890451449942806,hyperleda_vizier,72.06948450968507,0.9102349968485576,-8.976500315144243,hyperleda_vizier,review,large_inclination_delta,197.5825672903877,D_plus_eD,False,0.7,47.09791052769288,False,0.2998661311914324,29.986613119143247,1.9176470588235293,0.1190737088172985,gas_flat_hard31,10,2.9,428.9041,3.551451616279061,0.6396254804842965,0.6314109057892222,3.3076135146618606,3.0490832988825387,0.0210868125292674,0.9789131874707324
F571-V1,7,7,4.518262851649836,4.06479897002139,-0.453463881628446,7,80.1,8.0,1,30.0,10.0,1.849,0.267,4.38,15.3,2.47,64.39,1.217,10.1,83.6,3.5,2,"dB97,dB96",,hyperleda_not_found,30.866315454857165,0.9745891442038538,-2.541085579614621,catalog_inclination_proxy,missing,missing_ba_obs,1.3029128472655902,D_plus_eD,True,,,,0.0998751560549313,9.987515605493137,0.658193618171985,0.1994787654280515,geom_hostage_22,7,11.66,949.2561,2.391504484782245,0.8244327094516455,0.8519875921966089,3.70794289492716,4.179886364077841,0.0222343624140525,0.9777656375859476
UGC01281,25,25,3.910802487778962,3.3091733011506124,-0.6016291866283496,8,5.27,0.24,2,90.0,1.0,0.353,0.009,2.01,13.83,1.63,135.78,0.294,5.26,55.2,3.5,1,"dB02,Sw02",0.1819700858609983,hyperleda_vizier,90.0,1.0,0.0,hyperleda_vizier,ok,,0.9738988285396548,D_plus_eD,True,,,,0.0455407969639468,4.554079696394687,0.8328611898016998,0.1106552749444841,geom_hostage_22,16,4.99,418.6116,2.911431910356424,1.0090722259741904,1.20016867709077,4.036598505873646,4.028000655471108,0.0422473166401619,0.957752683359838
UGC12632,15,15,18.536665973497744,17.849308915902956,-0.687357057594788,9,9.77,2.93,1,46.0,3.0,1.301,0.03,3.94,13.09,2.42,66.81,1.744,12.6,71.7,2.8,1,"Sw09,Sw02",0.7413102413009175,hyperleda_vizier,43.88186026320149,1.0377483062902066,3.774830629020665,hyperleda_vizier,ok,,40.59337159184576,D_plus_eD,True,,,,0.2998976458546571,29.98976458546572,1.3405073020753266,0.2977938665391708,geom_hostage_22,15,10.66,986.5881,5.828531472036042,1.9028660537516555,1.723955659654104,5.571706972539251,4.912493605439172,0.0264115841416053,0.9735884158583946
NGC0300,25,25,8.31477220064378,7.465378508142602,-0.8493936925011782,7,2.08,0.1,2,42.0,10.0,2.922,0.008,1.77,147.51,1.75,437.35,0.936,9.2,93.3,7.0,2,"Sa96,CP90",0.6456542290346555,hyperleda_vizier,51.585877016284414,0.8539836238553554,-14.601637614464458,hyperleda_vizier,review,large_velocity_shift,1.434670784752652,D_plus_eD,True,,,,0.048076923076923,4.807692307692308,0.3203285420944559,0.3056326530612245,geom_hostage_22,22,7.71,796.9329,3.533652741787684,1.3408321327335877,1.1505146204600578,14.385478828810172,11.85299872947284,0.0126676657745,0.9873323342255
UGC10310,7,7,10.778833431585625,9.299833046020575,-1.479000385565049,9,15.2,4.6,1,34.0,6.0,1.741,0.053,3.12,28.37,1.8,158.79,1.196,9.58,71.4,3.9,1,"Sw09,Sw02",0.7943282347242815,hyperleda_vizier,38.85942296267323,0.8912694205871889,-10.873057941281106,hyperleda_vizier,review,large_velocity_shift;faceon_sensitive,10.624531039182296,D_plus_eD,True,,,,0.3026315789473684,30.26315789473684,0.6869615163699023,0.3691358024691357,geom_hostage_22,7,7.74,954.81,5.437948360839998,1.557463260102875,1.5001626724561614,4.817644915230765,5.321549886620984,0.0191341688822426,0.9808658311177574
UGC07603,12,12,6.967064147830744,3.63004877111533,-3.337015376715413,7,4.7,1.41,1,78.0,3.0,0.376,0.008,0.85,81.81,0.53,520.99,0.258,4.37,61.6,2.8,1,"Sw09,Sw02",0.3311311214825911,hyperleda_vizier,75.50905899855253,1.0102876642816767,1.0287664281676712,hyperleda_vizier,ok,,15.963345789243723,D_plus_eD,True,,,,0.3,30.0,0.6861702127659575,0.9184763260946956,geom_hostage_22,12,2.05,319.3369,2.292281117366663,0.6201364037955868,0.7096499070716575,4.023648699562799,3.765616930033708,0.0188832963466053,0.9811167036533948
UGC06399,9,9,7.573476184290878,3.716348450458761,-3.857127733832117,9,18.0,2.5,4,75.0,2.0,2.296,0.072,3.45,30.82,2.05,311.05,0.674,8.8,85.0,3.8,1,"VS01,SV98",0.2691534803926916,hyperleda_vizier,84.08874822543012,0.9710894863702564,-2.8910513629743617,hyperleda_vizier,ok,,6.476104743179889,D_plus_eD,True,,,,0.1388888888888889,13.88888888888889,0.2935540069686411,0.1603807257584771,geom_hostage_22,9,7.85,668.7396,4.326646689334253,1.456867040030572,1.327760606851331,2.981253355091269,3.277043069850428,0.0244638521552088,0.9755361478447911
ESO563-G021,30,30,31.499952403865745,25.773398669048422,-5.7265537348173225,4,60.8,9.1,1,83.0,3.0,311.177,2.579,10.59,429.37,5.45,6558.89,24.298,55.71,314.6,11.7,1,SG06,0.165958690743756,hyperleda_vizier,85.42514298825088,0.995718534782276,-0.4281465217723879,hyperleda_vizier,ok,,38.46163654319122,D_plus_eD,True,,,,0.1496710526315789,14.967105263157896,0.0780841771724773,0.818045619055635,geom_hostage_22,19,37.3,4010.6889,3.6529470138870015,1.5584997389044528,0.5770212199170466,21.021571296885988,18.489780386799808,0.0149982727231431,0.9850017272768568
UGC07524,31,31,26.9600189912366,21.12593247850145,-5.834086512735144,9,4.74,0.24,2,46.0,3.0,2.436,0.025,3.61,29.71,3.46,106.86,1.779,12.11,79.5,3.6,1,"Sw09,Sw02",0.3715352290971725,hyperleda_vizier,73.50951188899951,0.750197781628335,-24.980221837166503,hyperleda_vizier,review,large_velocity_shift;large_inclination_delta,8.380969637333944,D_plus_eD,True,,,,0.050632911392405,5.063291139240507,0.7302955665024631,0.148601690667914,geom_hostage_22,27,10.69,1194.3936,3.733915311174541,1.793910822664458,1.98177161690294,5.770598471174984,5.765205799764116,0.0267091055561527,0.9732908944438472
NGC6674,15,15,226.4537395153391,213.43261284592865,-13.021126669410478,3,51.2,10.2,1,54.0,6.0,214.654,1.977,7.75,560.83,6.04,1370.35,32.165,50.02,241.3,4.9,1,"Sa96,Br92",0.5128613839913648,hyperleda_vizier,59.85074748787034,0.9355826173362528,-6.441738266374708,hyperleda_vizier,ok,,570.2731586628815,D_plus_eD,True,,,,0.1992187499999999,19.921875,0.1498457983545613,0.8816773387132143,geom_hostage_22,11,62.48,2602.0201,1.3493179489321208,0.9035888382408872,0.5885596844113508,6.911761203926782,4.949163771665248,0.0113433371314994,0.9886566628685004
UGC06983,17,17,14.788867117070334,3.1498152424551904,-11.639051874615143,6,18.0,2.5,4,49.0,1.0,5.298,0.102,3.95,53.56,3.21,121.57,2.967,16.07,109.0,5.8,1,"VS01,SV98",0.7762471166286917,hyperleda_vizier,40.0280127852857,1.173436094558706,17.343609455870613,hyperleda_vizier,review,large_velocity_shift,12.498158185050803,D_plus_eD,True,,,,0.1388888888888889,13.88888888888889,0.5600226500566251,0.2879436340874021,geom_hostage_22,14,13.94,1676.9025,2.66353619327525,0.7925724742908303,0.5416269582887878,5.418975737844108,5.424631377803529,0.0183923039633329,0.9816076960366672
ESO116-G012,15,15,27.08115377739804,10.358717630289371,-16.722436147108667,7,13.0,3.9,1,74.0,3.0,4.292,0.071,2.75,90.54,1.51,1320.78,1.083,9.58,109.1,3.1,1,Ge04,0.2344228815319922,hyperleda_vizier,85.93282461908302,0.9636886687915154,-3.631133120848462,hyperleda_vizier,review,large_inclination_delta,70.06583939352112,D_plus_eD,True,,,,0.3,30.0,0.2523299161230196,0.4749791675803693,geom_hostage_22,12,9.09,1259.5401000000002,2.9888136658343067,1.0895117752120111,1.1700975722248912,7.902869398144709,7.451790684447498,0.030564741196123,0.969435258803877
